ID,VERSION,STORE_ID,UUID,TRANSACTION_ID,TYPE_QNAME_ID,LOCALE_ID,ACL_ID,AUDIT_CREATOR,AUDIT_CREATED,AUDIT_MODIFIER,AUDIT_MODIFIED,AUDIT_ACCESSED
3257156,3,6,8e3dd610-5bc1-415a-947e-95e8e74a7d85,1108464,258,2,66,bvos,2020-08-19T09:26:58.569Z,bvos,2020-08-19T09:26:58.569Z,
3258398,3,6,a5dde2fc-cfd1-48da-bbaf-84a57c084a96,1108889,258,2,66,bvos,2020-08-19T09:27:47.919Z,bvos,2020-08-19T09:27:47.919Z,
3208746,3,6,545fabf3-48d4-4ba2-b8b7-b41585801894,1091938,258,2,66,bvos,2020-08-19T08:52:44.480Z,bvos,2020-08-19T08:52:44.480Z,
3221288,3,6,118bd2c3-7a5e-4896-a6b1-7d51be3e06bc,1096239,258,2,66,bvos,2020-08-19T09:01:45.268Z,bvos,2020-08-19T09:01:45.268Z,
3231916,3,6,2b49dd15-ab8c-4bce-8bb4-8c35d9935fe2,1099893,258,2,66,bvos,2020-08-19T09:09:25.340Z,bvos,2020-08-19T09:09:25.340Z,
3230406,3,6,72fd2fc6-cbd0-4aea-ac7e-0738c3afcada,1099375,258,2,66,bvos,2020-08-19T09:08:22.652Z,bvos,2020-08-19T09:08:22.652Z,
3243727,3,6,cbdb174e-3e36-4117-9f21-b23708ef231d,1103905,258,2,66,bvos,2020-08-19T09:17:32.563Z,bvos,2020-08-19T09:17:32.563Z,
3230365,3,6,e08f45af-6191-4750-91ef-6093d4637fbe,1099361,258,2,66,bvos,2020-08-19T09:08:19.271Z,bvos,2020-08-19T09:08:19.271Z,
3229905,3,6,9069604e-ea68-42fa-822a-6a367f410ecf,1099204,258,2,66,bvos,2020-08-19T09:07:59.104Z,bvos,2020-08-19T09:07:59.104Z,
3293329,3,6,cebe10ad-4b5e-46ca-a83f-bf6f91aeee36,1120735,258,2,66,bvos,2020-08-19T09:51:56.084Z,bvos,2020-08-19T09:51:56.084Z,
3294415,3,6,482ffb98-edae-49ee-bbb1-c15374090233,1121101,258,2,66,bvos,2020-08-19T09:52:38.300Z,bvos,2020-08-19T09:52:38.300Z,
3283388,3,6,563f2cef-df73-4a2e-a483-934a8a78cc33,1117360,258,2,66,bvos,2020-08-19T09:44:55.462Z,bvos,2020-08-19T09:44:55.462Z,
3299936,3,6,7749e4fb-50ae-4818-85d0-571c6af9708c,1122963,258,2,66,bvos,2020-08-19T09:56:16.583Z,bvos,2020-08-19T09:56:16.583Z,
3301456,3,6,f7d53b59-9872-4bba-a3f9-d4086b407777,1123479,258,2,66,bvos,2020-08-19T09:57:21.564Z,bvos,2020-08-19T09:57:21.564Z,
3307301,3,6,2b5cc349-acc6-43ad-acfa-85e646627160,1125463,258,2,66,bvos,2020-08-19T10:01:37.197Z,bvos,2020-08-19T10:01:37.197Z,
3265625,3,6,1f300df4-1041-4b9c-835c-baf8e44bd55c,1111346,258,2,66,bvos,2020-08-19T09:32:40.146Z,bvos,2020-08-19T09:32:40.146Z,
3277508,3,6,0bac7f3d-7d0d-4ca7-8964-f46326a2554f,1115372,258,2,66,bvos,2020-08-19T09:40:58.177Z,bvos,2020-08-19T09:40:58.177Z,
3278514,3,6,4b03e7ff-b4ea-477b-8586-30aa5e9f00e0,1115712,258,2,66,bvos,2020-08-19T09:41:37.045Z,bvos,2020-08-19T09:41:37.045Z,
3279628,3,6,746107bf-8a5a-42a4-8d6a-e529a9ecd39f,1116088,258,2,66,bvos,2020-08-19T09:42:23.652Z,bvos,2020-08-19T09:42:23.652Z,
3279599,3,6,f2fd49ac-7f19-43b6-8797-adfac81c2238,1116077,258,2,66,bvos,2020-08-19T09:42:22.532Z,bvos,2020-08-19T09:42:22.532Z,
3294643,3,6,c51f209c-6b32-4a0d-ab64-fa343c269b6d,1121176,258,2,66,bvos,2020-08-19T09:52:46.053Z,bvos,2020-08-19T09:52:46.053Z,
3283221,3,6,937b3569-32b4-4240-b35b-225f2c7c02c9,1117305,258,2,66,bvos,2020-08-19T09:44:48.295Z,bvos,2020-08-19T09:44:48.295Z,
3276504,3,6,90bfbf57-1ce1-4d8b-a20d-6064568d1960,1115030,258,2,66,bvos,2020-08-19T09:40:16.661Z,bvos,2020-08-19T09:40:16.661Z,
3282192,3,6,ae5b1b71-152b-45aa-842d-b5941436a8a4,1116955,258,2,66,bvos,2020-08-19T09:44:07.127Z,bvos,2020-08-19T09:44:07.127Z,
3301179,3,6,9d0f0d0b-775c-4560-982d-dec0ac4787ad,1123384,258,2,66,bvos,2020-08-19T09:57:09.534Z,bvos,2020-08-19T09:57:09.534Z,
3301248,3,6,a56aff64-b022-4caa-a95b-d294e5dbb238,1123410,258,2,66,bvos,2020-08-19T09:57:12.637Z,bvos,2020-08-19T09:57:12.637Z,
3326640,3,6,d609875a-4c62-4bab-ae42-42bd0e89a38b,1132048,258,2,66,bvos,2020-08-19T10:14:55.721Z,bvos,2020-08-19T10:14:55.721Z,
3364400,3,6,9331a75e-84ce-4c17-be66-31a46ce9bf17,1144834,258,2,66,bvos,2020-08-19T10:41:05.596Z,bvos,2020-08-19T10:41:05.596Z,
3348656,3,6,ee4c2999-e1ea-4d2f-b263-b3194d713d7a,1139528,258,2,66,bvos,2020-08-19T10:29:59.254Z,bvos,2020-08-19T10:29:59.254Z,
3364890,3,6,59eaacd4-a8f4-4cdd-9da9-ba17691dbc06,1144999,258,2,66,bvos,2020-08-19T10:41:29.426Z,bvos,2020-08-19T10:41:29.426Z,
3320655,3,6,bc223194-ed33-4599-bddd-e7dd49d0669b,1130010,258,2,66,bvos,2020-08-19T10:10:56.143Z,bvos,2020-08-19T10:10:56.143Z,
3325974,3,6,917e0125-e141-49fd-8f67-e084bce391f6,1131824,258,2,66,bvos,2020-08-19T10:14:28.605Z,bvos,2020-08-19T10:14:28.605Z,
3375913,3,6,7f31c073-9021-4c32-9eb4-5f62ef130ed2,1148723,258,2,66,bvos,2020-08-19T10:50:11.855Z,bvos,2020-08-19T10:50:11.855Z,
3408939,3,6,870208e3-be9e-4d91-a7e6-0f85c907df9b,1159939,258,2,66,bvos,2020-08-19T11:25:35.583Z,bvos,2020-08-19T11:25:35.583Z,
3399692,3,6,e9f38527-7fff-44f6-a58c-2674f3e74dd5,1156796,258,2,66,bvos,2020-08-19T11:13:02.496Z,bvos,2020-08-19T11:13:02.496Z,
