ID,VERSION,STORE_ID,UUID,TRANSACTION_ID,TYPE_QNAME_ID,LOCALE_ID,ACL_ID,AUDIT_CREATOR,AUDIT_CREATED,AUDIT_MODIFIER,AUDIT_MODIFIED,AUDIT_ACCESSED
16728078,3,6,6f3deb90-2643-443b-bdc0-927a9ecb23d4,5616516,258,2,66,bvos,2020-09-27T03:23:39.756Z,bvos,2020-09-27T03:23:39.756Z,
16732138,3,6,283dfb82-9112-4ee0-87d9-ca5fe7be3e7b,5617819,258,2,66,bvos,2020-09-28T05:26:07.595Z,bvos,2020-09-28T05:26:07.595Z,
16729546,3,6,9cc42b37-135a-461c-aca7-39e73fcc6364,5616918,258,2,66,bvos,2020-09-27T16:37:37.463Z,bvos,2020-09-27T16:37:37.463Z,
16729570,3,6,a22224a0-b7eb-493a-b0bc-097e5a8f6ea3,5616926,258,2,66,bvos,2020-09-27T16:54:25.473Z,bvos,2020-09-27T16:54:25.473Z,
16728191,3,6,bc4e8cb1-4ce9-4731-9ba5-93dc748e16d1,5616555,258,2,66,bvos,2020-09-27T03:50:13.836Z,bvos,2020-09-27T03:50:13.836Z,
16729514,3,6,592305f0-f17e-4933-82f8-48e8ef9ef024,5616905,258,2,66,bvos,2020-09-27T15:56:49.765Z,bvos,2020-09-27T15:56:49.765Z,
16729564,3,6,71b5c4ca-25b9-4c27-b6e3-c137294c027f,5616924,258,2,66,bvos,2020-09-27T16:47:28.727Z,bvos,2020-09-27T16:47:28.727Z,
16729499,3,6,989832bf-6765-40de-a046-96e2a7de0782,5616900,258,2,66,bvos,2020-09-27T15:25:48.314Z,bvos,2020-09-27T15:25:48.314Z,
16729567,3,6,1d0278e4-2ce2-4956-8f4d-12905a539d0e,5616925,258,2,66,bvos,2020-09-27T16:52:32.880Z,bvos,2020-09-27T16:52:32.880Z,
16728222,3,6,6d1206f8-8938-4e0d-b0cb-8b01e24e3101,5616566,258,2,66,bvos,2020-09-27T03:54:37.054Z,bvos,2020-09-27T03:54:37.054Z,
16728519,3,6,4a4319b9-a361-4055-a338-a56856fa775c,5616672,258,2,66,bvos,2020-09-27T05:04:15.867Z,bvos,2020-09-27T05:04:15.867Z,
23020126,3,6,2320a46b-e181-4169-af18-00382381594d,7717438,258,2,66,bvos,2020-10-07T11:46:11.069Z,bvos,2020-10-07T11:46:11.069Z,
